,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,id
39,0,Second Story,Former Future Brewing Company,American Amber / Red Ale,4.70 %,BTU Rusty_s Red Ale,BTU Brewing,American Pale Ale,5.80 %,2135#668
40,1,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 %,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,2909#1529
41,0,Atlantic Antic Amber,Sixpoint Brewery,American Amber / Red Ale,6.50 %,Ale Asylum Ambergeddon,Ale Asylum,Amber Ale,6.70 %,1362#2095
42,0,Spark House Red Ale,Lake of Bays Brewing Company,American Amber / Red Ale,5.00 %,Brooksville Hot Head Red Ale,Brooksville Brewing Company,Amber Ale,6 %,242#1101
43,0,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,5.50 %,Shugborough N_KD At The Swan,Shugborough ( Titanic ),Golden Ale/Blond Ale,4.50 %,98#1804
44,1,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,271#1410
45,1,Dream Of The 90 's,Prohibition Pig,American Amber / Red Ale,6.10 %,Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,-,1914#793
46,0,Bill & Ted 's Excellent Amber,Lynnwood Grill & Brewing Concern,American Amber / Red Ale,5.00 %,Artisan_s Toasted Amber Ale,Artisan_s Brewery and Italian Grill,Amber Ale,5 %,1169#2667
47,0,Windsor Ale,1st Republic Brewing Company,American Amber / Red Ale,4.80 %,Suginoya Amber Ale,Suginoya Beer / Hamachi Shuzo,Amber Ale,5 %,3604#622
48,0,Manitou Amber Ale,Brewery Terra Firma,American Amber / Red Ale,5.30 %,Fernie Big Caboose Red Ale,Fernie Brewing Company,Amber Ale,5 %,482#2772
49,1,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 %,Hearthstone Red Rye Ale,Hearthstone Brewery,Specialty Grain,5 %,2689#1373
50,0,All-In Amber,Full Pint Brewing Company,American Amber / Red Ale,5.80 %,Little Egypt Red Ale,Carbondale Craft Beer,Amber Ale,-,170#1919
51,0,New Holland Sundog Amber Ale,New Holland Brewing Company,American Amber / Red Ale,5.25 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,-,59#2143
52,0,Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,6.00 %,Cigar City Brewpub Grass Fed Red,Cigar City Brewing,Amber Ale,6 %,284#2980
53,0,Wisconsin Amber Ale,Hillbilly Brewing,American Amber / Red Ale,-,Funk Estate Parleyer,Massey University Microbrewery,Golden Ale/Blond Ale,4.20 %,2457#2261
54,0,Juniper Ale,Columbia Kettle Works,American Amber / Red Ale,5.80 %,Sierra Blanca Roswell Alien Amber Ale,Sierra Blanca Brewing Co,Amber Ale,5.20 %,2254#504
55,0,Fluffy Fuzz Buzz,Smog City Brewing,American Amber / Red Ale,7.00 %,Rusty Scupper Amber Ale,Miller Brewing Company &#40; MillerCoors &#41;,Amber Ale,-,1629#1506
56,0,Sacrilicious Ale,Seabright Brewery,American Amber / Red Ale,6.80 %,Bold City 1901 Red Ale,Bold City Brewery,American Strong Ale,8 %,1223#1854
57,0,Texas Red,Railroad Seafood Station Brewing Company,American Amber / Red Ale,4.80 %,Oakshire Ride Your Bike Double Red Ale,Oakshire Brewing,Amber Ale,8.60 %,2553#57
58,1,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 %,Americas American Red Ale,Americas Brewpub,Amber Ale,-,120#213
59,1,Fisherman 's Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 %,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company,Barley Wine,9 %,4157#2405
60,0,Fuken Red Ale,Petoskey Brewing Company,American Amber / Red Ale,5.40 %,Alley Kat Pumpkin Pie Spiced Ale,Alley Kat Brewing Company,Spice/Herb/Vegetable,5.40 %,2632#1555
61,1,Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,4.50 %,Buckleys Original Ale,Yarra Flats Brewery,English Pale Ale,4.90 %,3622#2020
62,1,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,1780#685
63,0,Tutta Bella Amber,Big Al Brewing,American Amber / Red Ale,-,Himmelberger North 40 Amber,Himmelberger Brewing Company,Amber Ale,-,1290#1237
64,0,Wobbly Red Ale,Dirty Hands Brewing Company,American Amber / Red Ale,5.90 %,Chatham Amber,Chatham Brewing,Amber Ale,-,3533#849
65,0,Imperial Reggae Red,SLO Brewing Co. .,American Amber / Red Ale,10.00 %,Stoneyard Rippers Red Ale,Custom Brewcrafters,Amber Ale,-,3275#1217
66,1,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Amber / Red Ale,4.50 %,Ise Kadoya Amarillo Amber Ale,Ise Kadoya,Amber Ale,-,2992#1590
67,0,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Amber / Red Ale,4.50 %,Moncada Notting Hill Red,Moncada,Amber Ale,6 %,2992#1624
68,0,Spring Fling,Broken Stick Brewing Company,American Amber / Red Ale,6.30 %,Argilla Amber Ale,Argilla Brewing Company,Amber Ale,5 %,3368#48
69,0,Spring Fling,Broken Stick Brewing Company,American Amber / Red Ale,6.30 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,3368#716
70,0,Otter Creek Amber,Kassik 's Kenai Brew Stop,American Amber / Red Ale,6.20 %,Brewery Terra Firma Manitou Amber Ale,Brewery Terra Firma,Amber Ale,5.70 %,2730#2579
71,1,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,3917#2224
72,1,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,I & I Bitter Orange Blossom,I & I Brewing,Amber Ale,5.30 %,2163#985
73,0,Proserpine,Garrison City Beerworks,American Amber / Red Ale,7.70 %,Samuel Adams Mighty Oak Ale,Boston Beer Company,Amber Ale,5.70 %,1696#2587
74,0,Bluesfest,Urban Artifact,American Amber / Red Ale,6.10 %,Sheps Amber Ale,The Good Shepherds Brewing Co. .,Amber Ale,-,1941#2121
75,0,Tell Tale Red Ale,Scuttlebutt Brewing Company,American Amber / Red Ale,5.00 %,Beer Works Beantown Nut Brown Ale,Beer Works,Brown Ale,5 %,470#421
76,0,Big Amber Gnome,HeinzelmÃ $ nnchen Brewery,American Amber / Red Ale,8.00 %,Wendlandt Harry Polanco Red Ale,CervecerÃa Wendlandt,Amber Ale,5.40 %,2693#1004
77,0,Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,-,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,543#742
78,1,Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 %,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,1850#742
79,0,Double Ought Buck Double Amber,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,9.50 %,HopTown Paint the Town Red,HopTown Brewing Company,Amber Ale,5.50 %,2447#2712
80,0,Molly Pitcher Imperial Red,Tent City Beer Company,American Amber / Red Ale,6.50 %,Hopworks Rise-Up Red Ale,Hopworks Urban Brewery,Amber Ale,5.80 %,1907#513
81,1,Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 %,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,14 %,4088#2351
82,1,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 %,Fuller_s Traitor_s Gate,Fuller_s,Bitter,4.50 %,2463#1206
83,0,Kirkland Signature Amber Ale,Kirkland Signature / Costco Wholesale Corporation,American Amber / Red Ale,5.70 %,Allendale End 34 Red Columbus,Allendale,Amber Ale,6 %,118#733
84,0,Bitto Honey,Prism Brewing Company,American Amber / Red Ale,6.50 %,Howe Sound Three Beavers Imperial Red Ale,Howe Sound Brewing,American Strong Ale,7.50 %,163#2583
85,1,Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,Chapman_s Red RYEding Hood,Chapman_s Brewing Company,Specialty Grain,10 %,3468#1921
86,0,Liquid Amber,Prescott Brewing Company,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,414#1563
87,0,Declaration Ale,American Honor Beer Company,American Amber / Red Ale,5.40 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,1220#1563
88,0,Abner Weed Amber Ale,Mount Shasta Brewing,American Amber / Red Ale,5.50 %,Powerhouse Amperage Amber,Powerhouse Restaurant & Brewery,Amber Ale,5.90 %,463#514
89,0,Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Fogbelt Hyperion Red Ale,Fogbelt Brewing Company,Amber Ale,7.20 %,2934#280
90,1,Willoughby American Amber Ale,Willoughby Brewing,American Amber / Red Ale,4.90 %,Willoughby American Amber Ale,Willoughby Brewing Co. .,Amber Ale,5.50 %,3381#1859
91,1,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,190#805
92,1,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,4.60 %,1621#548
93,0,Fir Na Tine,Odell Brewing Company,American Amber / Red Ale,5.30 %,Battenkill Harvest Moon Amber Ale,Battenkill Brewing Company,Amber Ale,-,3034#2634
94,0,Copperline Amber Ale,Carolina Brewery,American Amber / Red Ale,5.40 %,Dragonmead Corktown Red,Dragonmead Brewery,Amber Ale,6 %,348#2830
95,1,5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,The Civil Life Stevie_s 5 Star Amber Ale,The Civil Life Brewing Company,Amber Ale,5 %,2491#1230
96,1,Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 %,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 %,3210#1737
97,0,Ora,Lucid Brewing,American Amber / Red Ale,6.50 %,Southern Oregon Woodshed Red,Southern Oregon Brewing Co. .,Amber Ale,6.30 %,610#2658
98,0,Nimbus Rillito Red Ale,Nimbus Brewing Company,American Amber / Red Ale,5.00 %,Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,American Strong Ale,8.50 %,237#2722
99,0,Oso Bueno,11 Below Brewing,American Amber / Red Ale,5.30 %,Picaroons Afterglow Aphrodisiac Ale,Northampton Brewing Co. &#40; NB &#41;,Amber Ale,5 %,999#384
100,0,High Stick,American Brewing Company,American Amber / Red Ale,-,Rip Current Raked Over Red,Rip Current Brewing,Amber Ale,7 %,1707#2902
101,0,Rich 's Red Ale,Resurgence Brewing Company,American Amber / Red Ale,5.70 %,Sacramento River Otter Ale,Sacramento Brewing Company,English Pale Ale,5.50 %,2291#590
102,0,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 %,Lake Placid Barkeater Amber Ale,Lake Placid Pub & Brewery,Amber Ale,5 %,1456#1870
103,1,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 %,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 %,1456#409
104,0,Preacher 's Daughter Amber Ale,Fountain Square Brewing Co. .,American Amber / Red Ale,6.00 %,Two Brothers Bottlenectar,Two Brothers Brewing Company,Amber Ale,5.90 %,394#331
105,0,What 's My Name Amber Ale,Crooked Ewe Brewery & Ale House,American Amber / Red Ale,5.50 %,Acorn Aurora IPA,Acorn,American Pale Ale,5 %,3613#1893
106,0,InaugurALE Red,Dad & Dude 's Breweria,American Amber / Red Ale,6.00 %,HOPe Bohemic,La Vella Caravana,Amber Ale,6 %,3051#1861
107,1,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Bentley Hooligan Amber Ale,Bentley Brewing Co. / Dark Horse Tavern,Amber Ale,6 %,1394#358
108,1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,982#2999
109,0,Sisyphus Hoppy Amber,Sisyphus Brewing,American Amber / Red Ale,-,Lonerider Red Spur,Lonerider Brewing Company,Amber Ale,7.30 %,1920#2653
110,0,Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,Barley Johns Grandpa_s Amber Ale,Barley Johns Brew Pub,Amber Ale,6.30 %,355#1475
111,1,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,American Barleywine,10.00 %,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,Barley Wine,10 %,4063#2331
112,0,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Crown City Arroyo Amber Ale,Crown City Brewery,Amber Ale,-,285#925
113,1,Indian Red Head,Catawba Brewing Co. .,American Amber / Red Ale,5.00 %,Catawba Valley Indian Head Red,Catawba Valley Brewing Company,Amber Ale,5 %,1004#20
114,0,Old Oak Amber Ale,Carver Brewing Co. .,American Amber / Red Ale,-,Mehana Volcano Red Ale,Mehana Brewing Company,Amber Ale,5 %,877#1190
115,1,MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,Bull City Movamber Moustache Ale,Bull City Burger and Brewery,Amber Ale,-,3073#1647
116,1,Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Chy_e Sierra Amber Ale,Zamecky Pivovar Chy_e,Amber Ale,5.30 %,1030#43
117,0,2 Biggie ( Collab With Batch Brewing ),Greenbush Brewing Company,American Barleywine,9.80 %,515 Undead Red,515 Brewing Company,Spice/Herb/Vegetable,7.80 %,4319#555
118,0,D'Ham Rousse Bitter,Les Brasseurs du Hameau,American Amber / Red Ale,5.50 %,Titletown Addlepated Ale,Titletown Brewing Company,Amber Ale,6.50 %,1899#456
119,1,Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 %,Barley Johns Reds on Vacation,Barley Johns Brew Pub,Amber Ale,5.44 %,4003#2284
120,0,Red Nitro,Amager Bryghus,American Amber / Red Ale,8.50 %,Kona Lavaman Red Ale,Kona Brewing Company,Amber Ale,5.60 %,1745#1128
121,1,Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 %,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,1648#571
122,0,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,AleSmith Evil Dead Red,AleSmith Brewing Company,Amber Ale,6.66 %,487#1912
123,0,Clifford The Big Red Ale,Books & Brews,American Amber / Red Ale,6.80 %,Prohibition Sweet Biscuit Amber Ale &#40; SBA &#41;,Prohibition Brewing &#40; California &#41;,Amber Ale,7 %,1375#314
124,1,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 %,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 %,2606#1320
125,0,Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Bison Organic Red Ale,Bison Brewing Company,Amber Ale,6 %,3079#2678
126,0,Red Duck Amber Ale,Purrumbete Brewing Company ( Red Duck ),American Amber / Red Ale,4.80 %,Storybook Little Red_s Rocking Ale,Storybook Brewing,Amber Ale,6 %,993#1059
127,1,Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,Willimantic Riverfest Red Ale,Willimantic Brewing Company,Amber Ale,5.20 %,2764#1423
128,0,Lux Rousse,Benelux Brewpub & CafÃ ©,American Amber / Red Ale,5.40 %,Paw Paw Gus Meister Amber Ale,Paw Paw Microbrewery,Amber Ale,5.10 %,3598#869
129,0,Red King,Real Ale Brewing Company,American Amber / Red Ale,8.60 %,Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 %,396#1136
130,0,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,Franklins Rubber Chicken Red Ale,Brewery & General Store,Amber Ale,5 %,1157#71
131,1,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 %,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.50 %,4101#2360
132,0,Deliberation Amber ( Dry-Hopped With Cascade ),West Sixth Brewing Company,American Amber / Red Ale,5.50 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,3441#1496
133,0,Global Warmer,Sixpoint Brewery,American Amber / Red Ale,7.00 %,Cascade Amber,Cascade Brewing,Amber Ale,5 %,25#2668
134,0,Weekender Amber Ale,Stilt House Brewery,American Amber / Red Ale,5.70 %,14th Star Valor Ale,14th Star Brewing Company,Amber Ale,5.40 %,3931#954
135,0,Flanders Red Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,-,Geneva Lake Cedar Point Amber Ale,Geneva Lake Brewing Company,Amber Ale,5 %,2733#2714
136,0,Blob Ale,Sly Fox Brewing Company,American Amber / Red Ale,8.00 %,Glasstown Founders Ale,Glasstown Brewing Company,American Strong Ale,6.90 %,2079#135
137,0,Green 's Amber Ale,Green 's Gluten Free Beers,American Amber / Red Ale,6.00 %,Big Time Better Off Red Ale,Big Time Brewery,Amber Ale,-,423#2801
138,0,Project Failed Red Ale,10 Barrel Brewing Co. .,American Amber / Red Ale,6.70 %,American Fall Harvest Sour Ale,American Brewing Company,Sour Red/Brown,6.80 %,352#2131
139,0,Fat Tire,New Belgium Brewing,American Amber / Red Ale,5.20 %,Titletown Addlepated Ale,Titletown Brewing Company,Amber Ale,6.50 %,939#456
140,1,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12.00 %,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Barley Wine,12 %,4286#2362
141,0,Ramble Tamble Red Ale,Elevation 66 Brewing,American Amber / Red Ale,6.00 %,Midland Copper Harbor Ale,Midland Brewing Company,Irish Ale,5.30 %,1569#2655
142,0,Red Trolley Ale,Karl Strauss Brewing Company,American Amber / Red Ale,5.60 %,Baja Red,Baja Brewing Co. .,Amber Ale,6 %,1274#2898
143,1,Summer Session Ale,Elk Creek Cafe + Aleworks,American Amber / Red Ale,4.20 %,Aqula Summer Session Ale,Aqula,English Pale Ale,4.50 %,2722#1393
144,1,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,2558#1284
145,1,Centurion Barleywine Ale,Golden City Brewery,American Barleywine,-,Golden City Centurion Barleywine Ale,Golden City Brewery,Barley Wine,11.20 %,4161#2409
146,1,Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 %,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 %,1931#810
147,0,No-Show Amber,Lenny Boy Brewing Co. .,American Amber / Red Ale,6.00 %,Shiretown Siren_s T_ale,Shiretown Brewing,Amber Ale,5 %,1320#677
148,0,Matanzas River Red Ale,Ancient City Brewing,American Amber / Red Ale,6.20 %,Blue Corn Rio Chama Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,-,3623#2982
149,1,Radeau Red Ale,Cooper 's Cave Ale Company,American Amber / Red Ale,5.50 %,Coopers Cave Radeau Red Ale,Coopers Cave Ale Company,Irish Ale,-,1522#467
150,0,Whose Envy,Barley Island Brewing Company,American Amber / Red Ale,10.50 %,Basil Ts Rocket Red Ale,Basil Ts &#40; Red Bank &#41;,Amber Ale,5 %,3476#1492
151,0,Rio Chama Amber Ale,Chama River Brewing Company,American Amber / Red Ale,5.00 %,360Â ° Pacific Red # 45,360Â ° Brewing,Amber Ale,4.50 %,961#1707
