label,ltable_title,ltable_description,ltable_manufacturer,ltable_price,rtable_title,rtable_description,rtable_manufacturer,rtable_price,id
1,steinberg sequel (pc or mac) music creation & performance software,sequel is an affordable and easy-to-use music studio designed for first-time computer music enthusiasts. combining intuitive tools to record edit mix and perform music with great-sounding loops instruments and effects sequel is the perfect first step into music production and performance. sequel runs on both pcs and macs and comes with a massive library of more than 5000 loops over 600 of ready-to-play instrument sounds stunning effects and the same state-of-the-art audio engine that is preferred by many world-class producers all around the globe. it's never been more fun to create music on a computer!,steinberg,129.0,steinberg sequel music software music production software,sequel - music creation and performance software - mac os x and windows xp/vista sequel from steinberg is an affordable and easy-to-use solution for music creation and performance designed for the first-time computer music user. as an introduction ...,,99.99,b000phd8ha#http://www.google.com/base/feeds/snippets/7446817695346465267
0,liquid ledger personal finance,personal finance software for max os x. liquid ledger is a personal accounting solution that can help you analyse monthly spending and find cash you never knew you had. it offers a comprehensive set of accounting tools to help you track banking and credit card activity balance your chequebook setup reminders to pay bills generate reports and graphs and more. with modern features such as multiple currency support the ability to import account activity downloaded from financial institutions and over a dozen time-saving features a few minutes each week is all it takes to start feeling more confident about how you manage your money. system requirements: mac os x 10.2 or later display resolution of at least 800x600 7 mb disk space for installation 2mb disk space (average) per document format: mac 10.2.8 or later,csdc,79.99,watchguard wg3900 high availability for firebox ii uk,the standby remains inactive unless the primary firebox ceases to respond to a connection on a specified heartbeat channel over a selected firebox interface (eg trusted or external). if no response is received across the network from the primary ...,,226.65 gbp,b000in6tnq#http://www.google.com/base/feeds/snippets/18388258643346032817
0,dreamweaver cs3 9 mac ed 1u,dreamweaver cs3 9 mac ed 1u,adobe education box,199.0,adobe cs3 master collection upsell from cs2,,,1437.99,b000ndid44#http://www.google.com/base/feeds/snippets/4247841323668156699
0,world history (win/mac) (jewel case),,fogware publishing,9.99,adobe cs3 master collection upsell from cs2,,,1437.99,b000fzz76m#http://www.google.com/base/feeds/snippets/4247841323668156699
1,dreamweaver cs3 9 mac ed 1u,dreamweaver cs3 9 mac ed 1u,adobe education box,199.0,adobe 38040450 - dreamweaver cs3 - complete product - web development - 1 user - complete product - academic - universal english - mac intel-based mac,adobe 38040450 : quickly and easily design develop and maintain websites and web applications - from start to finish - with adobe dreamweaver cs3 software. built for both designers and developers dreamweaver cs3 offers the choice of working in an ...,,182.97,b000ndid44#http://www.google.com/base/feeds/snippets/18415197771734313133
1,dreamweaver cs3 9 mac ed 1u,dreamweaver cs3 9 mac ed 1u,adobe education box,199.0,adobe dreamweaver cs3 academic,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 1.4gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,195.99,b000ndid44#http://www.google.com/base/feeds/snippets/1396058941659125307
1,child safe 3-pc,keep your children safe from internet threats webroot maker of the award-winning spy sweepertm now introduces child safe the most comprehensive and easy-to-use solution to keep children safe on the internet. child safe is a powerful program that enables parents to control individual settings for each child: manage your child s computer and internet time limit online chat game playing or other programs to the days and times you specify filter objectionable web content and record all web sites that each child visits receive e-mail reports for all monitored activities lock-down access to windows settings automatically log your child off at bedtime system requirements: os: windows 2000 windows xp cpu: 133 mhz minimum memory: 128 mb ram disk: 5 mb format: win 2000 xp vista,webroot software,39.95,webroot software inc 28310 - child safe 3-pc - win 2000 xp vista,webroot software inc 28310 : keep your children safe from internet threats webroot maker of the award-winning spy sweepertm now introduces child safe the most comprehensive and easy-to-use solution to keep children safe on the internet. child ...,,16.97,b000oziaz8#http://www.google.com/base/feeds/snippets/15207825953028155236
1,jumpstart world 1st grade,welcome to jumpstart world 1st grade a series of 12 adventure packs or learning units that actually progresses in response to your child's own learning pace. it's super-personalized wildly imaginative and really fun but don't let that fool you--it also teaches critical skills correlated to state standards so kids get a real jumpstart in life. the world changes with the seasons and holidays over 80 learning games and missions unique 3d design and immersive play the smart fun way to achieve 1st grade success your child will make new friends visit the learning arcades art and music studio and complete fun missions to earn their first two leadership keys. stay connected as part of your jumpstart world experience we've designed a parents corner where you can get additional tips and ideas to help your child enjoy learning even more. get educational tips and creative ideas from our monthly gurus and experts. search hundreds of parent tips to help turn everyday moments into learning opportunitites. get instant access to tips and activities that reinforce your child's learning. reward your child studies show that children learn better when parents are involved. the super gem reward store allows you to reward your child's performance with customized certificates. delight your child with rewards that only you can create. create rewards that your child can redeem: a trip to the park going out for ice cream going ice skating and many more. use our simple tool to create your own rewards to honor your child's learning achievements. get your first 2 adventure packs today: over 80 learning games and missions that teach more than 40 skills subscribe to keep the adventure going: get a new adventure pack automatically downloaded to your computer for just $7.99 each. based on your child's progress--at least one each month. 12 total adventure packs per grade. each adventure pack includes: for kids: over 40 learning games and missions over 20 skills new areas of the world to discover one new badge to earn for parents: progress report e-mails and parent tips access to the member's website and online access to educational experts access to the super gems reward center see what your child can learn in jumpstart world at the heart of the jumpstart world is the learning curriculum containing hundreds of lessons around key skills to help your child advance progressively. take a tour of the specially designed 3d world new studies show that children who learn in rich media environments retain knowledge longer. jumpstart world surrounds your child in a 3d world with learning and fun as it rewards and recognizes each achievement along the way. key features of jumpstart world: children pick a character and explore a world full of exciting places. unique 3d design and immersive play make kids feel like they're inside a world of adventure and learning. challenging missions teach math reading spelling vocabulary science art and more. kids can import photos to decorate their world. they can create billboards cards and special pictures. new lands and new challenges open up according to your child's progress. includes sing-along music videos in the art and music studio that teach phonics the karaoke way. kids earn super gems at the math and reading arcades. they can then trade in their gems for special rewards. kids earn keys on their way to becoming the ultimate jumpscout leader. the world changes with the seasons and holidays using a real-time calendar. parents receive personalized progress reports and activity tips. ages 5-7 years skills taught math: addition subtraction telling time fractions picture graphs reading: phonics consonants vowels sentences comprehension critical thinking: problem solving patterns attributes classification social skills: friendship knowledge dedication and much more! benefits empowers children to succeed builds confidence rewards achievements enhances social skills stimulates creativity engages parents research: the building blocks of jumpstart world research has shown that children's play can encourage and improve their ability to learn. jumpstart world keeps children motivated to play and to learn because jumpstart world recognizes each achievement along the way. the result is non-stop play and learning that will involve the entire family. children and technology white paper (.pdf - 84k) jumpstart world white paper (.pdf - 124k),knowledge adventure,19.99,knowledge adventure inc. - 20223 - jumpstart world 1st grade - mini box,welcome to jumpstart world 1st grade a revolutionary 3d world of learning that actually progresses in response to a child?s own learning pace. it?s super-personalized wildly imaginative and really fun but don?t let that fool you - it also teaches ...,,16.93,b000i84dts#http://www.google.com/base/feeds/snippets/18373254644070862441
0,adobe premiere pro 2.0,adobe premiere pro 2.0 software sets new standards for digital filmmaking so you can make every frame count. providing the tightest integration with adobe after effects and adobe photoshop and native support for hdv sd and hd adobe premiere pro effortlessly fits into high-end effects and editing work flows. its rich set of advanced editing and effects tools ensures that you can produce whatever you imagine and new time- and space-saving features help make you more productive. if you work in post services in-house post production videography or multimedia services adobe premiere pro 2.0 delivers a rich feature set that enables you to tell your stories with the highest possible production values. edit multiple-camera shoots quickly and easily with premiere pro 2.0. view multiple video tracks from a multicam shoot and edit by switching between tracks in real time. expedite reviews with adobe clip notes. embed video into a pdf file e-mail the file to your client to review with timecode-specific comments and then view comments mapped to the timeline. create high-quality menu-driven dvds directly from the adobe premiere pro timeline. make full-resolution interactive dvds for digital dailies test discs or final delivery. browse organize and preview content files and then drag and drop what you need from adobe bridge. search by or edit xmp metadata such as keywords language and format. take a tour of adobe premiere pro 2.0. edit everything with confidence with adobe premiere pro 2.0 you're ready for editing no matter how demanding the project. hd sd hdv and dv -- every major standard and high-definition video format (including dv digital betacam hdv hdcam and d5) is within your reach with no compromise on quality features or performance. that means you're free to work with whatever media best meets your requirements in terms of budget creative expectations and intended delivery medium. using native support for the aja xena hs card for real-time hd encoding premiere pro 2.0 captures from and lays off to any hd-sdi vtr or device. with six channels of aes and embedded audio i/o plus full-resolution sd and hd playback premiere pro 2.0 and aja xena hs combine to provide a complete full-featured capture and delivery solution for all hd and sd formats. whether capturing from or laying back to digi-beta or d5 premiere pro 2.0 and the aja xena hs card are the perfect combination to accommodate diverse post-production work flows. putting hd resolution within reach of even the most modest budget hdv has rapidly become a popular acquisition format. with premiere pro 2.0 you now have a full-featured editing environment for hdv with support for logging batch capture trimming and editing in native hdv format so there is no conversion or quality loss. plus premiere pro 2.0 supports the most popular hdv-format cameras and vtrs including the most popular sony and jvc models. premiere pro 2.0 also streamlines the process of encoding video and audio for your macromedia flash projects with new flash video (flv) export. this allows you to create compact vector-based swf animations that include sophisticated text animations and shape morphing. expanding your creativity premiere pro 2.0 delivers a comprehensive and powerful set of professional editing tools including new support for multi-cam editing enhanced color support and gpu-accelerated rendering. this leading application also opens a whole new level of professional production by supporting the editing of multiple-camera shoots. the new quad-view monitor provides simultaneous display of up to four synchronized source tracks plus a real-time preview of the switched output. drop into record mode and you'll be able to switch between source tracks in real time to create a sequence containing the edited footage from each of the cameras. making adjustments is easy. simply record the desired changes and premiere pro 2.0 updates your edited sequence automatically. the clips can then be edited as usual with any effects titles and other tools available in premiere pro 2.0. premiere pro 2.0 introduces numerous enhancements to ensure that color in your video productions is as true to life as possible. for starters premiere pro 2.0 provides new color correction tools that are optimized for different tasks such as luma correction and limiting. for fine adjustments the three-way color corrector provides precise control over shadows midtones and highlights. use primary and secondary color correction tools to match shots change colors correct exposure errors and modify highlights midtones and shadows across clips sequences or entire projects. whether working with 8-bit 10-bit or 16-bit source material the powerful new color correction tools process your changes at 32-bit resolution for maximum color fidelity. workflow integration and support premiere pro 2.0 offers excellent integration with your high-end work flows. film and video may be in different formats but they needn't exist in different dimensions. built-in conversion capabilities help bridge the two worlds by providing optional feet + frames timecode display (in addition to video smpte) for captured footage. if you originate on or deliver to 16mm or 35mm film premiere pro 2.0 lets you choose whichever time reference system makes editing and conforming easiest for you. with an open architecture premiere pro 2.0 easily provides support for new formats and hardware as they become available. choose from a wide range of capture cards and other hardware today to build the hd sd and dv editing system that meets your needs and budget. if you're familiar with other adobe products working with premiere pro 2.0 will be a breeze. the software features panels that dock and group work with a redesigned user interface that's fully customizable. tools palettes and menus are familiar and consistent with those in other adobe video applications and keyboard shortcuts remain fully customizable. arrange everything you need using workspace panels that dock and group within the main application window saving valuable screen space and eliminating the need to constantly reposition and resize multiple windows and palettes one by one. the audio capabilities in premiere pro 2.0 -- unequaled by any other video editor -- now allow you to apply multiple effects to audio clips or tracks. adobe premiere pro even includes a set of vst-format plug-ins that will get you started on audio enhancement right out of the box. deliver with ultimate confidence now that it's done where can you play it? with premiere pro 2.0 the answer is everywhere. whether your delivery target is the web dvd tape film or digital cinema adobe premiere pro 2.0 helps you leverage your editing investment across more playback platforms. plus workflow innovations such as automated review and approval facilitate and streamline everyday tasks to keep your projects on the fast track without keeping you from your core mission. adobe premiere pro 2.0 also makes it easy to send both media and metadata to other video film and audio applications making it more efficient to take a single project in multiple directions. and finally getting fast to-the-point feedback from clients is a crucial part of any successful production. adobe clip notes streamlines the process with an elegant solution based on two easy accessible technologies: email and the adobe pdf file format. a sequence can be exported as a pdf file with embedded or streamed video in either windows media or quicktime. the file is then sent to the reviewer who plays it back with adobe acrobat or adobe reader software. whenever the reviewer pauses the video the current timecode is automatically entered into the comment box. remarks can be entered at the exact point at which the video is paused. when the file containing these remarks is sent back and imported into the sequence the comments appear as clip markers at the appropriate timecode locations in the timeline. adobe clip notes facilitates collaboration expedites the review and approval process and takes the pain out of keeping everyone in the loop.,adobe,849.0,knowledge adventure inc. - 20223 - jumpstart world 1st grade - mini box,welcome to jumpstart world 1st grade a revolutionary 3d world of learning that actually progresses in response to a child?s own learning pace. it?s super-personalized wildly imaginative and really fun but don?t let that fool you - it also teaches ...,,16.93,b000e8jlda#http://www.google.com/base/feeds/snippets/18373254644070862441
0,hoyle mahjongg (jewel case),hoyle mah jongg gives you teh chance to enjoy the ancient strategy game in all-new ways. choose a tile set and location then start testing your wits with some great mah jongg gaming.,encore,9.99,agatha christie: and then there were none,agatha christies world-famous novel and then there were none is brought to the pc with all of its original baffling suspense! 10 people strangers to each other are invited to a lavish estate on an island. through a recording their mysterious ...,,29.99,b0009yx9bo#http://www.google.com/base/feeds/snippets/16354170032183470835
0,world of warcraft,for the first time players can experience the lands of warcraft's azeroth from a new in-depth perspective. as heroes they explore familiar battlefields discover new lands and take on epic quests and challenges in blizzard's massively multiplayer online role-playing game. blizzard has taken care to make the game accessible and fun both for hard-core 60-hour-a-week players and for more casual adventurers.,blizzard entertainment,19.99,agatha christie: and then there were none,agatha christies world-famous novel and then there were none is brought to the pc with all of its original baffling suspense! 10 people strangers to each other are invited to a lavish estate on an island. through a recording their mysterious ...,,29.99,b000067fdw#http://www.google.com/base/feeds/snippets/16354170032183470835
1,hoyle mahjongg (jewel case),hoyle mah jongg gives you teh chance to enjoy the ancient strategy game in all-new ways. choose a tile set and location then start testing your wits with some great mah jongg gaming.,encore,9.99,encore software 10023 - hoyle mahjongg (win 98 me 2000 xp),encore software 10023 : hoyle mahjongg challenges your skill and strategy with the world s greatest mahjongg collection. system requirements: windows 98se/me/2000 sp4/xp sp1 pentium ii 300 mhz cpu 32mb ram (64mb for 2000 128mb for xp) 175mb free ...,,7.47,b0009yx9bo#http://www.google.com/base/feeds/snippets/14640507864355837784
1,hoyle mahjongg (jewel case),hoyle mah jongg gives you teh chance to enjoy the ancient strategy game in all-new ways. choose a tile set and location then start testing your wits with some great mah jongg gaming.,encore,9.99,encore 10023 hoyle mahjongg for pc,hoyle mahjongg challenges your skill and strategy with the world's greatest mahjongg collection. features: ^^ multiple backgrounds and tile sets ^^ several game modes & game to choose from -- even a create your own tile feature 10023 encore,encore,6.99,b0009yx9bo#http://www.google.com/base/feeds/snippets/18395787464051623418
1,simply put software data eliminator,data eliminator removes all information from computer hard drives. it makes it simple to protect yourself from identity theft by purging your computer prior to donating or recycling. wipe out all spyware and viruses to start fresh.,simply put software,0.0,simply put software llc de905-s - data elminator (win 95 98 me nt 2000 xp),simply put software llc de905-s : data eliminator completely eliminates hard drive data to facilitate selling donating or discarding your old computer. system requirements: cd rom/ intel pentium compatible pc/ 16 mb ram/ vga or higher video support,,34.97,b000ccvp0a#http://www.google.com/base/feeds/snippets/12536674159579454939
0,ford racing 2 (mac),ford racing 2 is a hectic homage to some of the greatest production cars ever to come out of detroit. get in the driver's seat and take control of legendary ford racing machines!,feral interactive,19.99,simply put software llc de905-s - data elminator (win 95 98 me nt 2000 xp),simply put software llc de905-s : data eliminator completely eliminates hard drive data to facilitate selling donating or discarding your old computer. system requirements: cd rom/ intel pentium compatible pc/ 16 mb ram/ vga or higher video support,,34.97,b0002iwyke#http://www.google.com/base/feeds/snippets/12536674159579454939
0,photostory on cd & dvd 5,magix photostory on cd and dvd 5 answers the question: what should you do with all those photos? put those holiday snapshots portraits or landscapes to good use -- turn them into a complete story. experience those classic moments all over again on tv with your dvd player. create a sensational slideshow and burn it entirely on cd or dvd.,magix entertainment,19.99,marine aquarium & goldfish aquarium,2 captivating screensavers in one! marine aquarium is an aquatic-themed screensaver offering highly realistic 3d fish models and a reef tank. vibrant images recreate the serenity of a marine habitat without the expense or maintenance of the real ...,,19.99,b000in8mj0#http://www.google.com/base/feeds/snippets/15315822485835000773
1,photostory on cd & dvd 5,magix photostory on cd and dvd 5 answers the question: what should you do with all those photos? put those holiday snapshots portraits or landscapes to good use -- turn them into a complete story. experience those classic moments all over again on tv with your dvd player. create a sensational slideshow and burn it entirely on cd or dvd.,magix entertainment,19.99,magix entertainment corp. photostory on cd & dvd 5,magix photostory on cd & dvd 5 adds life to your photos: music fun animated motifs virtual camera movements zooms and great 3d effects make your slideshows more action-packed than any movie. system requirements: microsoft wind,,17.55,b000in8mj0#http://www.google.com/base/feeds/snippets/17707372056830171464
0,photostory on cd & dvd 5,magix photostory on cd and dvd 5 answers the question: what should you do with all those photos? put those holiday snapshots portraits or landscapes to good use -- turn them into a complete story. experience those classic moments all over again on tv with your dvd player. create a sensational slideshow and burn it entirely on cd or dvd.,magix entertainment,19.99,global software publ na gsp greatest moments of our time,a nostalgic look at the people places and events of the 20th century that defined us connecting people and families with history.,,8.14,b000in8mj0#http://www.google.com/base/feeds/snippets/17137407106136957809
0,netgear vpn01l vpn client software,netgear's prosafe vpn client software delivers the ideal solution with robust encryption and broad support across multiple connection types and microsoft windows operating platforms. the prosafe vpn client provides easy setup and seamless compatibility with the full line of netgear vpn & firewall routers as well as compatibility with ipsec vpn solutions. a wide range of security protocols and authentication methods including advanced encryption standard (aes) data encryption standard (des) 3des message-digest algorithm (md5) and secure hash algorithm (sha-1). also public-key infrastructure (pki) and internet key exchange (ike - main and aggressive modes) plus a wide range of smart cards and certificate authorities is supported. netgear prosafe vpn client software also provides protected access to corporate resources via wireless broadband and dial-up connections. supports netgear vpn/firewall routers including the fvs318 fvl328 fvm318 and fwag114 as well as many other ipsec-compliant vpn devices. enables client-initiated vpns from windows 98 me xp 2000 and windows nt-based pcs. smart card support pkcs 7 certificate chains pkcs 10 certificate requests pkcs 12 certificate import mscapi support diffie-helman group support - group 1-modp 768 group 2 � modp 1024 group 5 � modp 1536 authentication mechanisms - preshared keys rsa signatures key management - ike (internet key exchange) ipsec modes - tunnel transport compression - ipcomp deflate and plug-in support for lzs system requirements - pentium (or equivalent processor) pc microsoft windows 98 me windows nt 4.0 windows 2000 windows xp operating system 16 mb ram for windows 98 32 mb ram for nt 64 mb for me and 2000 64 mb for xp 35 mb hard disk space,netgear,89.99,blair aaronson donny osmond yamaha donny osmond - this is the moment - smart pianosoft,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,,14.86,b000100eg4#http://www.google.com/base/feeds/snippets/16916049275137353118
0,netgear vpn01l vpn client software,netgear's prosafe vpn client software delivers the ideal solution with robust encryption and broad support across multiple connection types and microsoft windows operating platforms. the prosafe vpn client provides easy setup and seamless compatibility with the full line of netgear vpn & firewall routers as well as compatibility with ipsec vpn solutions. a wide range of security protocols and authentication methods including advanced encryption standard (aes) data encryption standard (des) 3des message-digest algorithm (md5) and secure hash algorithm (sha-1). also public-key infrastructure (pki) and internet key exchange (ike - main and aggressive modes) plus a wide range of smart cards and certificate authorities is supported. netgear prosafe vpn client software also provides protected access to corporate resources via wireless broadband and dial-up connections. supports netgear vpn/firewall routers including the fvs318 fvl328 fvm318 and fwag114 as well as many other ipsec-compliant vpn devices. enables client-initiated vpns from windows 98 me xp 2000 and windows nt-based pcs. smart card support pkcs 7 certificate chains pkcs 10 certificate requests pkcs 12 certificate import mscapi support diffie-helman group support - group 1-modp 768 group 2 � modp 1024 group 5 � modp 1536 authentication mechanisms - preshared keys rsa signatures key management - ike (internet key exchange) ipsec modes - tunnel transport compression - ipcomp deflate and plug-in support for lzs system requirements - pentium (or equivalent processor) pc microsoft windows 98 me windows nt 4.0 windows 2000 windows xp operating system 16 mb ram for windows 98 32 mb ram for nt 64 mb for me and 2000 64 mb for xp 35 mb hard disk space,netgear,89.99,38039926 adobe fireworks cs3 - complete package - 1 user - cd - mac - universal english,adobe systems 38039926 : usually ships in 24 hours : in stock : accelerate web design and development with adobe fireworks cs3 software the ideal tool for creating and optimizing images for the web and rapidly prototyping websites and web ...,,322.08,b000100eg4#http://www.google.com/base/feeds/snippets/13099025043197145149
0,calculation skills v1 add & sub - basic - core learning,this four volume series builds fundamental calculation competence with four core arithmetic operations. two volumes provide calculation practice with addition and subtraction at a basic and advanced level; the other two volumes provide calculation practice with multiplication and division at a basic and advanced level. volume 1 features helpful calculation information: how to add addition table how to subtract subtraction table take away from 10 or 9 table money and decimals change from $1.00 table the program provides three timed drills basic addition drill basic subtraction drill making change from $1.00 drillsystem requirements: windows 98/me/2000/xp pentium ii 400 mhz + 96 mb ram + 25 mb hard disk space cd-rom drive vga display 16-bit color with 800x600 resolutionformat: win 98 me 2000 xp,sos aggregation company,0.0,38039926 adobe fireworks cs3 - complete package - 1 user - cd - mac - universal english,adobe systems 38039926 : usually ships in 24 hours : in stock : accelerate web design and development with adobe fireworks cs3 software the ideal tool for creating and optimizing images for the web and rapidly prototyping websites and web ...,,322.08,b00029rapc#http://www.google.com/base/feeds/snippets/13099025043197145149
