ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,originalRightId
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,XML Repository and Active Views Demonstration,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,1999,"('title', 'year')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,XML Repository and Active Views Demonstration,"Bruno Tessier, Am�lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr�d�ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S�bastien Ailleret, Tova Milo, Cassio Souza dos Santos",VLDB,2000,"('title', 'authors', 'venue')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,XML Repository and Active Views Demonstration,"Bruno Tessier, Am�lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr�d�ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S�bastien Ailleret, Tova Milo, Cassio Souza dos Santos",Very Large Data Bases,1999,"('title', 'authors', 'year')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,XML Repository and Active Views Demonstration,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",VLDB,1999,"('title', 'venue', 'year')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,"('title',)",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",Very Large Data Bases,2000,"('title', 'authors')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",VLDB,2000,"('title', 'venue')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,1996,"('title', 'year')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",VLDB,2000,"('title', 'authors', 'venue')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",Very Large Data Bases,1996,"('title', 'authors', 'year')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",VLDB,1996,"('title', 'venue', 'year')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,"('title',)",0@conf/vldb/AdiBEY00
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",VLDB,2000,"('title', 'authors')",0@conf/vldb/AdiBEY00
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",International Conference on Management of Data,2000,"('title', 'venue')",0@conf/vldb/AdiBEY00
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2001,"('title', 'year')",0@conf/vldb/AdiBEY00
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",International Conference on Management of Data,2000,"('title', 'authors', 'venue')",0@conf/vldb/AdiBEY00
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",VLDB,2001,"('title', 'authors', 'year')",0@conf/vldb/AdiBEY00
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",International Conference on Management of Data,2001,"('title', 'venue', 'year')",0@conf/vldb/AdiBEY00
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",International Conference on Management of Data,2002,"('title', 'authors')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB,2002,"('title', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2003,"('title', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",VLDB,2002,"('title', 'authors', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",International Conference on Management of Data,2003,"('title', 'authors', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB,2003,"('title', 'venue', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, C�sar A. Galindo-Legaria",International Conference on Management of Data,2002,"('title', 'authors')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2002,"('title', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2001,"('title', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, C�sar A. Galindo-Legaria",SIGMOD Conference,2002,"('title', 'authors', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, C�sar A. Galindo-Legaria",International Conference on Management of Data,2001,"('title', 'authors', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2001,"('title', 'venue', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,International Conference on Management of Data,2002,"('title', 'authors')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2002,"('title', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2000,"('title', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,SIGMOD Conference,2002,"('title', 'authors', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,International Conference on Management of Data,2000,"('title', 'authors', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2000,"('title', 'venue', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",International Conference on Management of Data,2002,"('title', 'authors')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB J.,2002,"('title', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,1994,"('title', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",VLDB J.,2002,"('title', 'authors', 'venue')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",International Conference on Management of Data,1994,"('title', 'authors', 'year')",1@564784
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB J.,1994,"('title', 'venue', 'year')",1@564784
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Gang Zhou, Richard Hull",SIGMOD Conference,1996,"('title',)",0@conf/sigmod/HullZ96
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Wai Fu Fung, David Sun, Johannes Gehrke",SIGMOD Conference,1996,"('title', 'authors')",0@conf/sigmod/HullZ96
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Gang Zhou, Richard Hull",International Conference on Management of Data,1996,"('title', 'venue')",0@conf/sigmod/HullZ96
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Gang Zhou, Richard Hull",SIGMOD Conference,2002,"('title', 'year')",0@conf/sigmod/HullZ96
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Wai Fu Fung, David Sun, Johannes Gehrke",International Conference on Management of Data,1996,"('title', 'authors', 'venue')",0@conf/sigmod/HullZ96
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Wai Fu Fung, David Sun, Johannes Gehrke",SIGMOD Conference,2002,"('title', 'authors', 'year')",0@conf/sigmod/HullZ96
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Gang Zhou, Richard Hull",International Conference on Management of Data,2002,"('title', 'venue', 'year')",0@conf/sigmod/HullZ96
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Functional Properties of Information Filtering,"Michael J. Carey, David J. DeWitt",VLDB,2001,"('authors',)",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Of Objects and Databases: A Decade of Turmoil,"Michael J. Carey, David J. DeWitt",VLDB,2001,"('title', 'authors')",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Of Objects and Databases: A Decade of Turmoil,"Masahiko Tsukamoto, Shojiro Nishio, Tsutomu Terada, Rie Sawai, Yin-Huei Loh",Very Large Data Bases,2001,"('title', 'venue')",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Functional Properties of Information Filtering,"Michael J. Carey, David J. DeWitt",Very Large Data Bases,2001,"('authors', 'venue')",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Functional Properties of Information Filtering,"Michael J. Carey, David J. DeWitt",VLDB,1996,"('authors', 'year')",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Of Objects and Databases: A Decade of Turmoil,"Michael J. Carey, David J. DeWitt",Very Large Data Bases,2001,"('title', 'authors', 'venue')",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Of Objects and Databases: A Decade of Turmoil,"Michael J. Carey, David J. DeWitt",VLDB,1996,"('title', 'authors', 'year')",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Of Objects and Databases: A Decade of Turmoil,"Masahiko Tsukamoto, Shojiro Nishio, Tsutomu Terada, Rie Sawai, Yin-Huei Loh",Very Large Data Bases,1996,"('title', 'venue', 'year')",0@conf/vldb/NishioSTTL01
Functional Properties of Information Filtering,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,2001,Functional Properties of Information Filtering,"Michael J. Carey, David J. DeWitt",Very Large Data Bases,1996,"('authors', 'venue', 'year')",0@conf/vldb/NishioSTTL01
Predictive dynamic load balancing of parallel and distributed rule and query processing,"Hasanat M. Dewan, Salvatore J. Stolfo, Mauricio Hern&#225;ndez, Jae-Jun Hwang",International Conference on Management of Data,1994,"Workflow automation: applications, technology and research","Jae-Jun Hwang, Mauricio A. Hern�ndez, Salvatore J. Stolfo, Hasanat M. Dewan",SIGMOD Conference,1994,"('title',)",0@conf/sigmod/DewanSHH94
Predictive dynamic load balancing of parallel and distributed rule and query processing,"Hasanat M. Dewan, Salvatore J. Stolfo, Mauricio Hern&#225;ndez, Jae-Jun Hwang",International Conference on Management of Data,1994,"Workflow automation: applications, technology and research",Amit Sheth,SIGMOD Conference,1994,"('title', 'authors')",0@conf/sigmod/DewanSHH94
Predictive dynamic load balancing of parallel and distributed rule and query processing,"Hasanat M. Dewan, Salvatore J. Stolfo, Mauricio Hern&#225;ndez, Jae-Jun Hwang",International Conference on Management of Data,1994,"Workflow automation: applications, technology and research","Jae-Jun Hwang, Mauricio A. Hern�ndez, Salvatore J. Stolfo, Hasanat M. Dewan",International Conference on Management of Data,1994,"('title', 'venue')",0@conf/sigmod/DewanSHH94
Predictive dynamic load balancing of parallel and distributed rule and query processing,"Hasanat M. Dewan, Salvatore J. Stolfo, Mauricio Hern&#225;ndez, Jae-Jun Hwang",International Conference on Management of Data,1994,"Workflow automation: applications, technology and research","Jae-Jun Hwang, Mauricio A. Hern�ndez, Salvatore J. Stolfo, Hasanat M. Dewan",SIGMOD Conference,1995,"('title', 'year')",0@conf/sigmod/DewanSHH94
Predictive dynamic load balancing of parallel and distributed rule and query processing,"Hasanat M. Dewan, Salvatore J. Stolfo, Mauricio Hern&#225;ndez, Jae-Jun Hwang",International Conference on Management of Data,1994,"Workflow automation: applications, technology and research",Amit Sheth,International Conference on Management of Data,1994,"('title', 'authors', 'venue')",0@conf/sigmod/DewanSHH94
Predictive dynamic load balancing of parallel and distributed rule and query processing,"Hasanat M. Dewan, Salvatore J. Stolfo, Mauricio Hern&#225;ndez, Jae-Jun Hwang",International Conference on Management of Data,1994,"Workflow automation: applications, technology and research",Amit Sheth,SIGMOD Conference,1995,"('title', 'authors', 'year')",0@conf/sigmod/DewanSHH94
Predictive dynamic load balancing of parallel and distributed rule and query processing,"Hasanat M. Dewan, Salvatore J. Stolfo, Mauricio Hern&#225;ndez, Jae-Jun Hwang",International Conference on Management of Data,1994,"Workflow automation: applications, technology and research","Jae-Jun Hwang, Mauricio A. Hern�ndez, Salvatore J. Stolfo, Hasanat M. Dewan",International Conference on Management of Data,1995,"('title', 'venue', 'year')",0@conf/sigmod/DewanSHH94
Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,2001,Data access for the masses through OLE DB,"Yasushi Sakurai, Shunsuke Uemura, Masatoshi Yoshikawa, Ryoji Kataoka",VLDB,2001,"('title',)",0@conf/vldb/SakuraiYKU01
Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,2001,Data access for the masses through OLE DB,Jos&#233; A. Blakeley,VLDB,2001,"('title', 'authors')",0@conf/vldb/SakuraiYKU01
Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,2001,Data access for the masses through OLE DB,"Yasushi Sakurai, Shunsuke Uemura, Masatoshi Yoshikawa, Ryoji Kataoka",International Conference on Management of Data,2001,"('title', 'venue')",0@conf/vldb/SakuraiYKU01
Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,2001,Data access for the masses through OLE DB,"Yasushi Sakurai, Shunsuke Uemura, Masatoshi Yoshikawa, Ryoji Kataoka",VLDB,1996,"('title', 'year')",0@conf/vldb/SakuraiYKU01
Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,2001,Data access for the masses through OLE DB,Jos&#233; A. Blakeley,International Conference on Management of Data,2001,"('title', 'authors', 'venue')",0@conf/vldb/SakuraiYKU01
Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,2001,Data access for the masses through OLE DB,Jos&#233; A. Blakeley,VLDB,1996,"('title', 'authors', 'year')",0@conf/vldb/SakuraiYKU01
Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,2001,Data access for the masses through OLE DB,"Yasushi Sakurai, Shunsuke Uemura, Masatoshi Yoshikawa, Ryoji Kataoka",International Conference on Management of Data,1996,"('title', 'venue', 'year')",0@conf/vldb/SakuraiYKU01
OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"Sorana Rabinovici, John Catozzi",VLDB,1995,In-Memory Data Management for Consumer Transactions The Times-Ten Approach,"John Catozzi, Sorana Rabinovici",Very Large Data Bases,1995,"('title',)",1@673297
OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"Sorana Rabinovici, John Catozzi",VLDB,1995,In-Memory Data Management for Consumer Transactions The Times-Ten Approach,Times-Ten Team,Very Large Data Bases,1995,"('title', 'authors')",1@673297
OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"Sorana Rabinovici, John Catozzi",VLDB,1995,In-Memory Data Management for Consumer Transactions The Times-Ten Approach,"John Catozzi, Sorana Rabinovici",SIGMOD Conference,1995,"('title', 'venue')",1@673297
