ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",Very Large Data Bases,1996,"('title', 'authors', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",VLDB,1996,"('title', 'venue', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,Push Technology Personalization through Event Correlation,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",VLDB,1996,"('authors', 'venue', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2001,"('year',)"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",VLDB,2000,"('title', 'authors')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",International Conference on Management of Data,2000,"('title', 'venue')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2001,"('title', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",International Conference on Management of Data,2000,"('authors', 'venue')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",VLDB,2001,"('authors', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",International Conference on Management of Data,2001,"('venue', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",International Conference on Management of Data,2000,"('title', 'authors', 'venue')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",VLDB,2001,"('title', 'authors', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",International Conference on Management of Data,2001,"('title', 'venue', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",International Conference on Management of Data,2001,"('authors', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2003,"('year',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",International Conference on Management of Data,2002,"('title', 'authors')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB,2002,"('title', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2003,"('title', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",International Conference on Management of Data,2003,"('authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB,2003,"('venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",VLDB,2002,"('title', 'authors', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",International Conference on Management of Data,2003,"('title', 'authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Systematic Development of Data Mining-Based Data Quality Tools,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB,2003,"('title', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",VLDB,2003,"('authors', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2002,"('venue',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2001,"('year',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, C�sar A. Galindo-Legaria",International Conference on Management of Data,2002,"('title', 'authors')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2002,"('title', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2001,"('title', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Milind Joshi, C�sar A. Galindo-Legaria",SIGMOD Conference,2002,"('authors', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Milind Joshi, C�sar A. Galindo-Legaria",International Conference on Management of Data,2001,"('authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2001,"('venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, C�sar A. Galindo-Legaria",SIGMOD Conference,2002,"('title', 'authors', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, C�sar A. Galindo-Legaria",International Conference on Management of Data,2001,"('title', 'authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,Orthogonal Optimization of Subqueries and Aggregation,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2001,"('title', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Milind Joshi, C�sar A. Galindo-Legaria",SIGMOD Conference,2001,"('authors', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2002,"('venue',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,International Conference on Management of Data,2002,"('title', 'authors')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2002,"('title', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2000,"('title', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,Michael J. Carey,SIGMOD Conference,2002,"('authors', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,Michael J. Carey,International Conference on Management of Data,2000,"('authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2000,"('venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,SIGMOD Conference,2002,"('title', 'authors', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,International Conference on Management of Data,2000,"('title', 'authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,On XML and Databases: Where's the Beef? (Panel Abstract),"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",SIGMOD Conference,2000,"('title', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,Michael J. Carey,SIGMOD Conference,2000,"('authors', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"('title',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,1994,"('year',)"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",International Conference on Management of Data,2002,"('title', 'authors')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB J.,2002,"('title', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,1994,"('title', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",International Conference on Management of Data,1994,"('authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB J.,1994,"('venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",VLDB J.,2002,"('title', 'authors', 'venue')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",International Conference on Management of Data,1994,"('title', 'authors', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB J.,1994,"('title', 'venue', 'year')"
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",VLDB J.,1994,"('authors', 'venue', 'year')"
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,COUGAR: the network is the database,"Gang Zhou, Richard Hull",SIGMOD Conference,1996,"('title',)"
A framework for supporting data integration using the materialized and virtual approaches,"Richard Hull, Gang Zhou",International Conference on Management of Data,1996,A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,"Gang Zhou, Richard Hull",International Conference on Management of Data,1996,"('venue',)"
