ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Okanagan Spring Cloudy Amber Ale,Okanagan Spring Brewery &#40; Sapporo &#41;,Amber Ale,5.10 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Okanagan Spring Cloudy Amber Ale,Okanagan Spring Brewery &#40; Sapporo &#41;,American Amber / Red Ale,5 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Okanagan Spring Cloudy Amber Ale,White Lion Brewing Company,Amber Ale,5 %,"('Beer_Name', 'Style', 'ABV')"
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,Okanagan Spring Brewery &#40; Sapporo &#41;,Amber Ale,5 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Copperhead Amber Ale,Iron Hill Maple Shade,Amber Ale,4.40 %,"('Beer_Name',)"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,American Amber / Red Ale,4.40 %,"('Style',)"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,4.40 %,"('Beer_Name', 'Brew_Factory_Name')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Copperhead Amber Ale,Iron Hill Maple Shade,American Amber / Red Ale,4.40 %,"('Beer_Name', 'Style')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Copperhead Amber Ale,Iron Hill Maple Shade,Amber Ale,5.65 %,"('Beer_Name', 'ABV')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Yalobusha Brewing Company,American Amber / Red Ale,4.40 %,"('Brew_Factory_Name', 'Style')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,American Amber / Red Ale,5.65 %,"('Style', 'ABV')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Copperhead Amber Ale,Yalobusha Brewing Company,American Amber / Red Ale,4.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.65 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Copperhead Amber Ale,Iron Hill Maple Shade,American Amber / Red Ale,5.65 %,"('Beer_Name', 'Style', 'ABV')"
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Yalobusha Brewing Company,American Amber / Red Ale,5.65 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Spiteful Angry Adam Hoppy Red Ale,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,"('Beer_Name',)"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Iron Hill Brewery & Restaurant,Amber Ale,4.40 %,"('Style',)"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,American Amber / Red Ale,4.40 %,"('Beer_Name', 'Brew_Factory_Name')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Spiteful Angry Adam Hoppy Red Ale,Iron Hill Brewery & Restaurant,Amber Ale,4.40 %,"('Beer_Name', 'Style')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Spiteful Angry Adam Hoppy Red Ale,Iron Hill Brewery & Restaurant,American Amber / Red Ale,6 %,"('Beer_Name', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Spiteful Brewing,Amber Ale,4.40 %,"('Brew_Factory_Name', 'Style')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Iron Hill Brewery & Restaurant,Amber Ale,6 %,"('Style', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Amber Ale,4.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,American Amber / Red Ale,6 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Spiteful Angry Adam Hoppy Red Ale,Iron Hill Brewery & Restaurant,Amber Ale,6 %,"('Beer_Name', 'Style', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Spiteful Brewing,Amber Ale,6 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Pike Unite Red Rye Ale,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,"('Beer_Name',)"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Iron Hill Brewery & Restaurant,Amber Ale,4.40 %,"('Style',)"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Pike Unite Red Rye Ale,Pike Brewing Company,American Amber / Red Ale,4.40 %,"('Beer_Name', 'Brew_Factory_Name')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Pike Unite Red Rye Ale,Iron Hill Brewery & Restaurant,Amber Ale,4.40 %,"('Beer_Name', 'Style')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Pike Unite Red Rye Ale,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.60 %,"('Beer_Name', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Pike Brewing Company,Amber Ale,4.40 %,"('Brew_Factory_Name', 'Style')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Iron Hill Brewery & Restaurant,Amber Ale,4.60 %,"('Style', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Pike Unite Red Rye Ale,Pike Brewing Company,American Amber / Red Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Pike Unite Red Rye Ale,Iron Hill Brewery & Restaurant,Amber Ale,4.60 %,"('Beer_Name', 'Style', 'ABV')"
Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,Shirt Tail Amber,Pike Brewing Company,Amber Ale,4.60 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Crooked Eye Brewery,Amber Ale,4.70 %,"('Style',)"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,American Amber / Red Ale,4.70 %,"('Beer_Name', 'Brew_Factory_Name')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Capitol City Amber Waves Ale,Crooked Eye Brewery,Amber Ale,4.70 %,"('Beer_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Capitol City Brewing Company,Amber Ale,4.70 %,"('Brew_Factory_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Crooked Eye Brewery,Amber Ale,5.60 %,"('Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,4.70 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,American Amber / Red Ale,5.60 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Capitol City Amber Waves Ale,Crooked Eye Brewery,Amber Ale,5.60 %,"('Beer_Name', 'Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Capitol City Brewing Company,Amber Ale,5.60 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Hillcrest Big Red Balls,Hillcrest Brewing Company,American Amber / Red Ale,4.70 %,"('Beer_Name', 'Brew_Factory_Name')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Hillcrest Big Red Balls,Crooked Eye Brewery,Imperial IPA,4.70 %,"('Beer_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Hillcrest Big Red Balls,Crooked Eye Brewery,American Amber / Red Ale,8 %,"('Beer_Name', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Hillcrest Brewing Company,Imperial IPA,4.70 %,"('Brew_Factory_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Crooked Eye Brewery,Imperial IPA,8 %,"('Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Hillcrest Big Red Balls,Hillcrest Brewing Company,Imperial IPA,4.70 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Hillcrest Big Red Balls,Hillcrest Brewing Company,American Amber / Red Ale,8 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Hillcrest Big Red Balls,Crooked Eye Brewery,Imperial IPA,8 %,"('Beer_Name', 'Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Hillcrest Brewing Company,Imperial IPA,8 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Crooked Eye Brewery,Amber Ale,4.70 %,"('Style',)"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Viola Rossa,Birra Amarcord,American Amber / Red Ale,4.70 %,"('Beer_Name', 'Brew_Factory_Name')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Viola Rossa,Crooked Eye Brewery,Amber Ale,4.70 %,"('Beer_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Viola Rossa,Crooked Eye Brewery,American Amber / Red Ale,6.60 %,"('Beer_Name', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Birra Amarcord,Amber Ale,4.70 %,"('Brew_Factory_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Crooked Eye Brewery,Amber Ale,6.60 %,"('Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Viola Rossa,Birra Amarcord,Amber Ale,4.70 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Viola Rossa,Birra Amarcord,American Amber / Red Ale,6.60 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Viola Rossa,Crooked Eye Brewery,Amber Ale,6.60 %,"('Beer_Name', 'Style', 'ABV')"
Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,Regimental 80 Scottish Ale,Birra Amarcord,Amber Ale,6.60 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Shirt Tail Amber,Pike Brewing Company,Amber Ale,4.60 %,"('Beer_Name',)"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Pike Unite Red Rye Ale,Pike Brewing Company,American Amber / Red Ale,4.60 %,"('Style',)"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Shirt Tail Amber,Iron Hill Brewery & Restaurant,Amber Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Shirt Tail Amber,Pike Brewing Company,American Amber / Red Ale,4.60 %,"('Beer_Name', 'Style')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Shirt Tail Amber,Pike Brewing Company,Amber Ale,4.40 %,"('Beer_Name', 'ABV')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Pike Unite Red Rye Ale,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.60 %,"('Brew_Factory_Name', 'Style')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Pike Unite Red Rye Ale,Pike Brewing Company,American Amber / Red Ale,4.40 %,"('Style', 'ABV')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Shirt Tail Amber,Iron Hill Brewery & Restaurant,Amber Ale,4.40 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Shirt Tail Amber,Pike Brewing Company,American Amber / Red Ale,4.40 %,"('Beer_Name', 'Style', 'ABV')"
Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Pike Unite Red Rye Ale,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Falling Sky Retrograde Red,The Pike Brewing Company,American Amber / Red Ale,4.60 %,"('Beer_Name',)"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,The Pike Brewing Company,Amber Ale,4.60 %,"('Style',)"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Falling Sky Retrograde Red,Falling Sky Brewing,American Amber / Red Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Falling Sky Retrograde Red,The Pike Brewing Company,Amber Ale,4.60 %,"('Beer_Name', 'Style')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Falling Sky Retrograde Red,The Pike Brewing Company,American Amber / Red Ale,6.30 %,"('Beer_Name', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,Falling Sky Brewing,Amber Ale,4.60 %,"('Brew_Factory_Name', 'Style')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,The Pike Brewing Company,Amber Ale,6.30 %,"('Style', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Falling Sky Retrograde Red,Falling Sky Brewing,Amber Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Falling Sky Retrograde Red,Falling Sky Brewing,American Amber / Red Ale,6.30 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Falling Sky Retrograde Red,The Pike Brewing Company,Amber Ale,6.30 %,"('Beer_Name', 'Style', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,Falling Sky Brewing,Amber Ale,6.30 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Hale_s Red Menace Big Amber,The Pike Brewing Company,American Amber / Red Ale,4.60 %,"('Beer_Name',)"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,The Pike Brewing Company,Amber Ale,4.60 %,"('Style',)"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Hale_s Red Menace Big Amber,Hale_s Ales,American Amber / Red Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Hale_s Red Menace Big Amber,The Pike Brewing Company,Amber Ale,4.60 %,"('Beer_Name', 'Style')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Hale_s Red Menace Big Amber,The Pike Brewing Company,American Amber / Red Ale,4.80 %,"('Beer_Name', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,Hale_s Ales,Amber Ale,4.60 %,"('Brew_Factory_Name', 'Style')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,The Pike Brewing Company,Amber Ale,4.80 %,"('Style', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Hale_s Red Menace Big Amber,Hale_s Ales,Amber Ale,4.60 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Hale_s Red Menace Big Amber,Hale_s Ales,American Amber / Red Ale,4.80 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Hale_s Red Menace Big Amber,The Pike Brewing Company,Amber Ale,4.80 %,"('Beer_Name', 'Style', 'ABV')"
Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,Unite Red Rye Ale,Hale_s Ales,Amber Ale,4.80 %,"('Brew_Factory_Name', 'Style', 'ABV')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Boohai Red Ale,Capitol City Brewing Company,Amber Ale,5.60 %,"('Beer_Name',)"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,American Amber / Red Ale,5.60 %,"('Style',)"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Boohai Red Ale,Crazy Mountain Brewing Company,Amber Ale,5.60 %,"('Beer_Name', 'Brew_Factory_Name')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Boohai Red Ale,Capitol City Brewing Company,American Amber / Red Ale,5.60 %,"('Beer_Name', 'Style')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Boohai Red Ale,Capitol City Brewing Company,Amber Ale,6.00 %,"('Beer_Name', 'ABV')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.60 %,"('Brew_Factory_Name', 'Style')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,American Amber / Red Ale,6.00 %,"('Style', 'ABV')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.60 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Boohai Red Ale,Crazy Mountain Brewing Company,Amber Ale,6.00 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Boohai Red Ale,Capitol City Brewing Company,American Amber / Red Ale,6.00 %,"('Beer_Name', 'Style', 'ABV')"
Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 %,"('Brew_Factory_Name', 'Style', 'ABV')"
