ele,label,lat,lon,ontology,type,typeDetail,id
,vienna,48.2088,16.3726,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region', 'http://rdf.freebase.com/ns/protected_sites.listed_site']",,111
,lake louise alberta,51.4311,-116.184,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,123
,Pawleys Island (SC),33.4296,-79.1217,http://data.nytimes.com/,,,130
,Ayodhya,26.8,82.2,http://dbpedia.org/,"['http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,141
,zanzibar,-6.1333,39.3167,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.statistical_region']",,145
,Espanola (NM),35.9911,-106.081,http://data.nytimes.com/,,,148
,"Espanola, New Mexico",,,http://dbpedia.org/,,,149
,punta gorda belize,16.1,-88.8,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,157
,"Chachapoyas, Peru",,,http://dbpedia.org/,"['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,167
,Wellington (New Zealand),-41.2785,174.777,http://data.nytimes.com/,,,170
,Wellington,-41.2866,174.776,http://sws.geonames.org/,"city, village,...",capital of a political entity,171
,Lafayette,30.2241,-92.0198,http://sws.geonames.org/,"city, village,...","['seat of a second-order administrative division', 'populated place']",175
,Ghent (Belgium),51.05,3.71667,http://data.nytimes.com/,,,176
,Puerto Vallarta (Mexico),20.6204,-105.231,http://data.nytimes.com/,,,180
,Puerto Vallarta,20.6204,-105.231,http://sws.geonames.org/,"city, village,...",populated place,181
,Nairobi (Kenya),-1.28333,36.8167,http://data.nytimes.com/,,,186
,Nairobi,-1.28333,36.8167,http://sws.geonames.org/,"city, village,...",capital of a political entity,187
,Sihanoukville (Cambodia),10.6333,103.5,http://data.nytimes.com/,,,198
,sihanoukville,10.6333,103.5,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,199
,Ocean City (NJ),39.2776,-74.5746,http://data.nytimes.com/,,,200
,ocean city new jersey,39.2775,-74.575,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.hud_county_place', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.hud_foreclosure_area', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,201
,vezelay,47.4667,3.74667,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,203
,Mott Haven,40.809,-73.9229,http://sws.geonames.org/,"city, village,...",populated place,215
,St Mawes (England),50.1594,-5.01222,http://data.nytimes.com/,,,216
,"Toledo, Spain",,,http://dbpedia.org/,"['http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,219
,guadalupe mexico,32.0667,-116.583,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,221
,Valparaiso (Chile),-33.0393,-71.6273,http://data.nytimes.com/,,,232
,Valparaíso,-33.0393,-71.6273,http://sws.geonames.org/,"city, village,...",,233
,Armação de Búzios,-22.7469,-41.8817,http://sws.geonames.org/,"city, village,...",populated place,237
,geneva,46.2,6.15,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,249
,Arosa (Switzerland),46.7833,9.66667,http://data.nytimes.com/,,,256
1775.0,arosa,46.783333,9.683333,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,257
13.1064,brussels,50.8411,4.35642,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,261
,Oporto (Portugal),41.15,-8.61667,http://data.nytimes.com/,,,262
,Seville (Spain),37.3772,-5.98694,http://data.nytimes.com/,,,264
,seville,37.3833,-5.98333,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,265
,New Orleans,29.9546,-90.0751,http://sws.geonames.org/,"city, village,...","['seat of a second-order administrative division', 'populated place']",267
,Shanghai (China),31.2222,121.458,http://data.nytimes.com/,,,268
,Shanghai,31.2222,121.458,http://sws.geonames.org/,"city, village,...",,269
,bogota,4.59806,-74.0758,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.place_with_neighborhoods', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,271
,Scituate (Mass),42.1959,-70.7259,http://data.nytimes.com/,,,272
,Lisbon (Portugal),38.7167,-9.13333,http://data.nytimes.com/,,,274
,Lisbon,38.7138,-9.13939,http://dbpedia.org/,"['http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village']",,275
,Patchogue (NY),40.7657,-73.0151,http://data.nytimes.com/,,,280
,Bergama (Turkey),39.1207,27.1805,http://data.nytimes.com/,,,282
,Punta Cana (Dominican Republic),18.5818,-68.4043,http://data.nytimes.com/,,,288
,Punta Cana,18.5333,-68.3667,http://dbpedia.org/,"['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,289
,Pucon (Chile),-39.2822,-71.9543,http://data.nytimes.com/,,,296
,Ras al-Khaimah (United Arab Emirates),25.7911,55.9428,http://data.nytimes.com/,,,300
,Ra's al Khaymah,25.7911,55.9428,http://sws.geonames.org/,"city, village,...",,301
,Acapulco (Mexico),16.8634,-99.8901,http://data.nytimes.com/,,,322
,Lagos,6.45306,3.39583,http://sws.geonames.org/,"city, village,...","['seat of a second-order administrative division', 'populated place']",342
,Alice Springs (Australia),-23.7,133.883,http://data.nytimes.com/,,,343
,San Juan,18.4663,-66.1057,http://sws.geonames.org/,"city, village,...",capital of a political entity,346
,San Pedro de Atacama (Chile),-22.9167,-68.2167,http://data.nytimes.com/,,,347
,san pedro de atacama,-22.9147,-68.1942,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,348
,Kips Bay (NYC),40.7395,-73.9771,http://data.nytimes.com/,,,357
,Kips Bay,40.7395,-73.9771,http://sws.geonames.org/,"city, village,...",section of populated place,358
,Lhasa (Tibet),29.65,91.1,http://data.nytimes.com/,,,368
,Lhasa,29.65,91.1,http://dbpedia.org/,"['http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,369
,Acapulco,16.8634,-99.8901,http://sws.geonames.org/,"city, village,...",populated place,372
,Ushuaia,-54.8,-68.3,http://dbpedia.org/,"['http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,374
,north adams,42.7008,-73.1092,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.hud_county_place', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.hud_foreclosure_area', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,375
,Philadelphia (Pa),39.9523,-75.1638,http://data.nytimes.com/,,,392
,Seattle (Wash),47.6062,-122.332,http://data.nytimes.com/,,,394
,seattle,47.6097,-122.333,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.hud_county_place', 'http://rdf.freebase.com/ns/location.metropolitan_area_anchor', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/architecture.architectural_structure_owner', 'http://rdf.freebase.com/ns/location.place_with_neighborhoods', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.hud_foreclosure_area', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,395
,Chengdu,30.6636,104.067,http://dbpedia.org/,"['http://umbel.org/umbel/rc/City', 'http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,405
,Gori (Georgian Republic),41.9736,44.1111,http://data.nytimes.com/,,,411
,Saint-Tropez,43.2667,6.63333,http://sws.geonames.org/,"city, village,...",populated place,417
,maplewood,40.7311,-74.2739,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,420
,Leavenworth (Wash),47.5962,-120.661,http://data.nytimes.com/,,,421
,amenia,41.8494,-73.5566,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,424
,Belfast (Northern Ireland),54.6,-5.93333,http://data.nytimes.com/,,,425
,El Chalten (Patagonia),-49.3286,-72.93,http://data.nytimes.com/,,,427
,Hyderabad (India),17.3753,78.4744,http://data.nytimes.com/,,,429
,Salida (Colo),38.5347,-105.999,http://data.nytimes.com/,,,431
,Huntington Station (NY),40.8534,-73.4115,http://data.nytimes.com/,,,444
,Plainsboro (NJ),40.3334,-74.6004,http://data.nytimes.com/,,,448
,"Plainsboro Township, New Jersey",,,http://dbpedia.org/,"['http://umbel.org/umbel/rc/Town', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,449
,"Paterson, New Jersey",,,http://dbpedia.org/,"['http://umbel.org/umbel/rc/City', 'http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,455
,Mahmudiya (Iraq),33.0696,44.3675,http://data.nytimes.com/,,,459
,Mahmudiya (district),,,http://dbpedia.org/,,,460
,Munich (Germany),48.1374,11.5755,http://data.nytimes.com/,,,472
,Munich,48.1374,11.5755,http://sws.geonames.org/,"city, village,...",,473
,orleans,47.9031,1.905,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,485
,Copenhagen (Denmark),55.6777,12.5709,http://data.nytimes.com/,,,490
,Copenhagen,55.6761,12.5683,http://dbpedia.org/,"['http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,491
,Long Beach,33.767,-118.189,http://sws.geonames.org/,"city, village,...",populated place,503
,Pátzcuaro,19.5167,-101.6,http://sws.geonames.org/,"city, village,...","['seat of a second-order administrative division', 'populated place']",508
,hunts point bronx,40.812601,-73.884025,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.neighborhood']",,517
,Falls Village (Conn),41.9559,-73.3632,http://data.nytimes.com/,,,544
,dragor,55.6,12.6833,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,566
,SoHo,40.7224,-73.9996,http://sws.geonames.org/,"city, village,...","['section of populated place', 'populated place']",570
,Bristol (England),51.45,-2.58333,http://data.nytimes.com/,,,571
,Niagara-on-the-Lake (Ontario),43.2501,-79.0663,http://data.nytimes.com/,,,573
,Niagara-on-the-Lake,43.2553,-79.0717,http://dbpedia.org/,"['http://umbel.org/umbel/rc/Town', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,574
,Melbourne (Australia),-37.814,144.963,http://data.nytimes.com/,,,575
,Melbourne,-37.814,144.963,http://sws.geonames.org/,"city, village,...",,576
,Scottsdale (Ariz),33.5092,-111.899,http://data.nytimes.com/,,,595
,Cairo (Egypt),30.05,31.25,http://data.nytimes.com/,,,599
,cairo,30.0566,31.2262,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region', 'http://rdf.freebase.com/ns/protected_sites.listed_site']",,600
,Guimaraes (Portugal),41.45,-8.3,http://data.nytimes.com/,,,610
,Guimaraes,,,http://dbpedia.org/,,,611
,ulyanovsk,54.3249,48.3852,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,620
,Strasbourg,48.5844,7.74861,http://dbpedia.org/,"['http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,624
,Beijing (China),39.9075,116.397,http://data.nytimes.com/,,,627
,Mogadishu (Somalia),2.03914,45.3419,http://data.nytimes.com/,,,637
,mogadishu,2.04109,45.3426,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,638
,Milford (Pa),41.3223,-74.8024,http://data.nytimes.com/,,,645
,cabarete,19.7511,-70.4083,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,657
,abu dhabi,24.47,54.38,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,677
,Rochester (NY),43.1548,-77.6156,http://data.nytimes.com/,,,682
,rochester,43.1547,-77.6158,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.hud_county_place', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.hud_foreclosure_area', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,683
,Bath (England),51.3794,-2.36556,http://data.nytimes.com/,,,685
,bath,51.3833,-2.3667,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region', 'http://rdf.freebase.com/ns/protected_sites.listed_site']",,686
,St Ives,50.2086,-5.4875,http://sws.geonames.org/,"city, village,...",populated place,690
,Timbuktu (Mali),16.7735,-3.00742,http://data.nytimes.com/,,,697
,Red Bank (NJ),40.3471,-74.0643,http://data.nytimes.com/,,,701
,Red Bank,40.3471,-74.0643,http://sws.geonames.org/,"city, village,...",populated place,702
,Colmar,48.0817,7.35556,http://dbpedia.org/,"['http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,704
,Trieste,45.6333,13.8,http://dbpedia.org/,"['http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,712
,Xalapa,19.54,-96.9275,http://dbpedia.org/,"['http://umbel.org/umbel/rc/City', 'http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,716
,North Stonington (Conn),41.4409,-71.8812,http://data.nytimes.com/,,,719
,North Stonington,41.4409,-71.8812,http://sws.geonames.org/,"city, village,...",populated place,720
,"Hot Springs, Arkansas",,,http://dbpedia.org/,"['http://umbel.org/umbel/rc/City', 'http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,724
,old lyme,41.3159,-72.329,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.place_with_neighborhoods', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,728
,Bangkok,13.7522,100.494,http://dbpedia.org/,"['http://dbpedia.org/ontology/AdministrativeRegion', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Region', 'http://schema.org/AdministrativeArea', 'http://dbpedia.org/ontology/PopulatedPlace']",,731
,Dubai (United Arab Emirates),25.2522,55.28,http://data.nytimes.com/,,,744
